product_id,classification,category,brand,name,price,img,if_affilated,reviews
1,생활용품,필통,주식회사 다올소프트,[주식회사 다올소프트] 데일리 필통,"8,730",https://image.officedepot.co.kr//item/761097/4.jpg,FALSE,"[{""username"": ""김영일"", ""rating"": 5, ""comment"": ""가격 대비 품질이 정말 좋아요."", ""date"": ""2024-12-06T08:01:25.452719""}, {""username"": ""이정식"", ""rating"": 5, ""comment"": ""가격 대비 품질이 정말 좋아요. 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2025-04-19T11:37:47.115951""}, {""username"": ""이민서"", ""rating"": 5, ""comment"": ""배송이 정말 빨랐어요. 재구매 의사 있습니다."", ""date"": ""2025-07-22T09:16:32.742969""}, {""username"": ""이도현"", ""rating"": 5, ""comment"": ""화면에서 보던 것보다 실물이 더 예뻐요. 포장이 꼼꼼해서 좋았어요. 마음에 쏙 듭니다!"", ""date"": ""2024-10-21T08:53:51.828922""}]"
2,생활용품,필통,주식회사 이노마루뷰티,[주식회사 이노마루뷰티] 오로라 필통,"9,580",https://m.pendepot.co.kr/web/product/big/201903/b3c96d64e10222b04210400151b13b50.jpg,FALSE,"[{""username"": ""송영수"", ""rating"": 4, ""comment"": ""가격 대비 품질이 정말 좋아요."", ""date"": ""2024-11-05T11:56:02.517762""}, {""username"": ""황선영"", ""rating"": 5, ""comment"": ""생각했던 것과 똑같아요. 만족합니다. 마음에 쏙 듭니다! 포장이 꼼꼼해서 좋았어요."", ""date"": ""2025-02-09T00:24:56.570103""}, {""username"": ""김성민"", ""rating"": 5, ""comment"": ""친구에게 선물했는데 정말 좋아하네요."", ""date"": ""2025-09-29T11:45:59.345600""}, {""username"": ""곽지영"", ""rating"": 4, ""comment"": ""친구에게 선물했는데 정말 좋아하네요. 앞으로도 자주 이용할게요."", ""date"": ""2024-11-06T09:22:40.833285""}, {""username"": ""류은서"", ""rating"": 5, ""comment"": ""퀄리티가 기대 이상입니다. 가격 대비 품질이 정말 좋아요. 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2025-01-21T05:33:13.093816""}]"
3,생활용품,스티커,(유) 라온조선항공,[(유) 라온조선항공] 데일리 스티커,"6,240",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrmx520WnvbA-jpLwGKkgIqCpYS9TEZRrkeQ&s,FALSE,"[{""username"": ""이영진"", ""rating"": 5, ""comment"": ""재구매 의사 있습니다."", ""date"": ""2025-03-25T08:25:45.085332""}]"
4,생활용품,마스킹테이프,(주) 첨단유니온플랫폼,[(주) 첨단유니온플랫폼] 솜사탕 마스킹테이프,"7,910",https://washitape.co.kr/image/maskingtape/jidam/JDMT-K2013/img.jpg,FALSE,"[{""username"": ""이재현"", ""rating"": 4, ""comment"": ""색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2025-05-16T15:28:39.155236""}, {""username"": ""김예은"", ""rating"": 4, ""comment"": ""퀄리티가 기대 이상입니다."", ""date"": ""2025-08-28T03:49:43.372751""}, {""username"": ""고서연"", ""rating"": 4, ""comment"": ""앞으로도 자주 이용할게요. 여기저기 잘 활용하고 있습니다. 디자인이 유니크해서 마음에 들어요."", ""date"": ""2024-12-06T07:38:20.969733""}, {""username"": ""백영환"", ""rating"": 5, ""comment"": ""포장이 꼼꼼해서 좋았어요. 재구매 의사 있습니다. 친구에게 선물했는데 정말 좋아하네요."", ""date"": ""2025-01-13T03:17:42.017302""}]"
5,생활용품,스티커,주식회사 종합나루테크,[주식회사 종합나루테크] 솜사탕 스티커 세트,"4,680",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnoBC0h5qk1dEqFJKx4nxRyCl7jwz1TkWuzg&s,FALSE,"[{""username"": ""최준서"", ""rating"": 5, ""comment"": ""배송이 정말 빨랐어요. 앞으로도 자주 이용할게요. 여기저기 잘 활용하고 있습니다."", ""date"": ""2024-11-10T13:40:22.515447""}, {""username"": ""박혜진"", ""rating"": 4, ""comment"": ""배송이 정말 빨랐어요. 앞으로도 자주 이용할게요. 색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2024-11-26T19:57:01.963456""}, {""username"": ""박지은"", ""rating"": 5, ""comment"": ""생각했던 것과 똑같아요. 만족합니다. 색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2025-06-17T12:37:42.694155""}]"
6,생활용품,떡메모지,유한회사 우리,[유한회사 우리] 오로라 떡메모지 세트,"9,990",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm9yRd-2UOwi7AzSgLCDCudhsn7ukZwREfHA&s,FALSE,"[{""username"": ""이민서"", ""rating"": 5, ""comment"": ""배송이 정말 빨랐어요. 아기자기하고 귀여워요."", ""date"": ""2024-11-28T06:26:47.927703""}, {""username"": ""이수진"", ""rating"": 4, ""comment"": ""여기저기 잘 활용하고 있습니다. 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2024-12-10T08:32:20.328717""}, {""username"": ""이은영"", ""rating"": 4, ""comment"": ""포장이 꼼꼼해서 좋았어요. 가격 대비 품질이 정말 좋아요."", ""date"": ""2025-01-20T23:44:34.512899""}, {""username"": ""최미정"", ""rating"": 5, ""comment"": ""재구매 의사 있습니다. 생각했던 것과 똑같아요. 만족합니다. 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2025-05-15T22:57:39.420454""}, {""username"": ""이영자"", ""rating"": 5, ""comment"": ""색감이 정말 예쁘게 잘 나왔어요. 여기저기 잘 활용하고 있습니다. 친구에게 선물했는데 정말 좋아하네요."", ""date"": ""2025-01-04T06:50:06.618633""}]"
7,생활용품,노트,(유) 한가람,[(유) 한가람] 오로라 노트 세트,"5,320",https://image.bmit.co.kr/hangaram.kr/upload/goods/2025021315513228878/2025021315513228878_0_300.jpg,TRUE,"[{""username"": ""진승현"", ""rating"": 4, ""comment"": ""가격 대비 품질이 정말 좋아요. 앞으로도 자주 이용할게요. 아기자기하고 귀여워요."", ""date"": ""2024-11-25T04:49:48.939703""}, {""username"": ""이병철"", ""rating"": 4, ""comment"": ""재구매 의사 있습니다."", ""date"": ""2025-06-30T19:09:39.983793""}]"
8,생활용품,다이어리,주식회사 가온,[주식회사 가온] 꿈결 다이어리 세트,"3,870",https://sitem.ssgcdn.com/60/11/14/item/1000409141160_i1_250.jpg,FALSE,"[{""username"": ""최예지"", ""rating"": 4, ""comment"": ""가격 대비 품질이 정말 좋아요. 마음에 쏙 듭니다! 재구매 의사 있습니다."", ""date"": ""2025-02-26T00:25:17.258604""}, {""username"": ""이상훈"", ""rating"": 4, ""comment"": ""디자인이 유니크해서 마음에 들어요. 생각했던 것과 똑같아요. 만족합니다. 아기자기하고 귀여워요."", ""date"": ""2025-04-26T05:35:55.617888""}]"
9,생활용품,떡메모지,(주) 가야글로벌소프트,[(주) 가야글로벌소프트] 오로라 떡메모지 ver.3,"8,450",https://webimage.10x10.co.kr/image/basic600/209/B002091460.jpg,FALSE,"[{""username"": ""문보람"", ""rating"": 5, ""comment"": ""여기저기 잘 활용하고 있습니다. 앞으로도 자주 이용할게요. 색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2025-06-19T20:10:30.540322""}, {""username"": ""박정수"", ""rating"": 4, ""comment"": ""가격 대비 품질이 정말 좋아요."", ""date"": ""2025-01-19T11:01:48.705309""}, {""username"": ""이영일"", ""rating"": 4, ""comment"": ""색감이 정말 예쁘게 잘 나왔어요. 마음에 쏙 듭니다!"", ""date"": ""2025-03-31T04:54:41.090859""}, {""username"": ""김지후"", ""rating"": 4, ""comment"": ""여기저기 잘 활용하고 있습니다."", ""date"": ""2025-03-08T06:13:54.300047""}, {""username"": ""황상철"", ""rating"": 5, ""comment"": ""생각했던 것과 똑같아요. 만족합니다. 재구매 의사 있습니다. 아기자기하고 귀여워요."", ""date"": ""2025-06-22T10:19:20.639232""}]"
10,생활용품,떡메모지,주식회사 푸른모두개발공사,[주식회사 푸른모두개발공사] 오로라 떡메모지,"6,790",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWIvLaL6Cc0EgI0tat8AUxtLtwdO_dzOc_gA&s,FALSE,"[{""username"": ""이민준"", ""rating"": 4, ""comment"": ""아기자기하고 귀여워요."", ""date"": ""2025-01-28T11:42:40.712485""}, {""username"": ""황은경"", ""rating"": 5, ""comment"": ""생각했던 것과 똑같아요. 만족합니다. 배송이 정말 빨랐어요. 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2025-06-14T17:09:50.061993""}, {""username"": ""류지현"", ""rating"": 5, ""comment"": ""친구에게 선물했는데 정말 좋아하네요. 생각했던 것과 똑같아요. 만족합니다. 포장이 꼼꼼해서 좋았어요."", ""date"": ""2024-10-23T04:49:55.143581""}]"
11,생활용품,필통,유한회사 제나한빛보안,[유한회사 제나한빛보안] 데일리 필통 ver.3,"9,420",https://cdn.imweb.me/thumbnail/20250522/2328096ed7ae4.jpg,FALSE,"[{""username"": ""박경수"", ""rating"": 5, ""comment"": ""가격 대비 품질이 정말 좋아요."", ""date"": ""2025-03-18T10:49:06.713680""}, {""username"": ""조현우"", ""rating"": 5, ""comment"": ""포장이 꼼꼼해서 좋았어요. 마음에 쏙 듭니다!"", ""date"": ""2025-09-20T17:05:09.962059""}]"
12,생활용품,필통,(주) 글로벌신라전자,[(주) 글로벌신라전자] 오로라 필통,"7,350",https://contents.kyobobook.co.kr/sih/fit-in/375x0/gift/pdt/1492/S1737605021406.jpg,FALSE,"[{""username"": ""김도윤"", ""rating"": 5, ""comment"": ""마음에 쏙 듭니다! 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2025-04-05T03:12:04.415565""}, {""username"": ""김주원"", ""rating"": 4, ""comment"": ""배송이 정말 빨랐어요. 색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2024-10-10T07:25:43.646648""}, {""username"": ""박영수"", ""rating"": 5, ""comment"": ""퀄리티가 기대 이상입니다. 생각했던 것과 똑같아요. 만족합니다."", ""date"": ""2025-09-26T01:43:50.922619""}, {""username"": ""이현지"", ""rating"": 5, ""comment"": ""마음에 쏙 듭니다! 가격 대비 품질이 정말 좋아요. 배송이 정말 빨랐어요."", ""date"": ""2024-10-26T22:05:32.639921""}, {""username"": ""하서윤"", ""rating"": 5, ""comment"": ""배송이 정말 빨랐어요."", ""date"": ""2025-10-04T13:38:23.730031""}]"
13,생활용품,다이어리,(주) 마루가야그룹,[(주) 마루가야그룹] 꿈결 다이어리,"2,610",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7w_ucfqWLRFkKF7coYQZztSmz44Fzye0FZw&s,FALSE,"[{""username"": ""윤예준"", ""rating"": 4, ""comment"": ""색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2024-10-30T06:51:08.501584""}, {""username"": ""박경수"", ""rating"": 5, ""comment"": ""여기저기 잘 활용하고 있습니다. 재구매 의사 있습니다. 생각했던 것과 똑같아요. 만족합니다."", ""date"": ""2025-01-22T15:00:19.162792""}, {""username"": ""김수빈"", ""rating"": 4, ""comment"": ""퀄리티가 기대 이상입니다. 친구에게 선물했는데 정말 좋아하네요."", ""date"": ""2025-01-08T09:13:55.150512""}, {""username"": ""이준영"", ""rating"": 4, ""comment"": ""여기저기 잘 활용하고 있습니다."", ""date"": ""2025-06-05T18:51:29.918533""}, {""username"": ""장지영"", ""rating"": 5, ""comment"": ""색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2025-03-28T13:43:51.009977""}]"
14,생활용품,필통,유한회사 한가람유니온코스메틱,[유한회사 한가람유니온코스메틱] 오로라 필통 ver.3,"5,870",https://gdimg.gmarket.co.kr/4277249177/more/00/800?ver=175169,FALSE,"[{""username"": ""윤진우"", ""rating"": 5, ""comment"": ""디자인이 유니크해서 마음에 들어요. 배송이 정말 빨랐어요. 가격 대비 품질이 정말 좋아요."", ""date"": ""2025-05-04T02:45:03.815626""}, {""username"": ""김정순"", ""rating"": 4, ""comment"": ""화면에서 보던 것보다 실물이 더 예뻐요. 앞으로도 자주 이용할게요. 포장이 꼼꼼해서 좋았어요."", ""date"": ""2024-11-21T07:29:33.434354""}]"
15,생활용품,떡메모지,(유) 국민반도체,[(유) 국민반도체] 솜사탕 떡메모지,"8,930",https://cdn.imweb.me/thumbnail/20240423/9d5bab18bb0c5.jpg,FALSE,"[{""username"": ""백영호"", ""rating"": 4, ""comment"": ""여기저기 잘 활용하고 있습니다. 화면에서 보던 것보다 실물이 더 예뻐요."", ""date"": ""2024-12-31T11:34:58.018092""}, {""username"": ""박현준"", ""rating"": 4, ""comment"": ""여기저기 잘 활용하고 있습니다. 재구매 의사 있습니다. 가격 대비 품질이 정말 좋아요."", ""date"": ""2025-08-31T13:38:01.114816""}]"
16,생활용품,마스킹테이프,유한회사 종합,[유한회사 종합] 데일리 마스킹테이프 ver.3,"9,150",https://bodyshopstore.co.kr/web/product/small/201906/8221db2e26cfcc4e9efa3a57760e865c.png,FALSE,"[{""username"": ""지상훈"", ""rating"": 4, ""comment"": ""친구에게 선물했는데 정말 좋아하네요. 마음에 쏙 듭니다!"", ""date"": ""2025-09-19T19:41:34.780827""}, {""username"": ""이예진"", ""rating"": 4, ""comment"": ""디자인이 유니크해서 마음에 들어요."", ""date"": ""2024-11-23T17:27:08.750903""}, {""username"": ""박종수"", ""rating"": 4, ""comment"": ""포장이 꼼꼼해서 좋았어요. 퀄리티가 기대 이상입니다."", ""date"": ""2025-09-15T15:38:34.259516""}, {""username"": ""이서연"", ""rating"": 4, ""comment"": ""퀄리티가 기대 이상입니다. 마음에 쏙 듭니다! 색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2025-09-10T02:13:25.441924""}, {""username"": ""허정웅"", ""rating"": 5, ""comment"": ""퀄리티가 기대 이상입니다. 여기저기 잘 활용하고 있습니다. 생각했던 것과 똑같아요. 만족합니다."", ""date"": ""2025-07-03T12:27:25.893542""}]"
17,생활용품,필통,(주) 가야네트웍스,[(주) 가야네트웍스] 오로라 필통 ver.3,"4,710",https://gdimg.gmarket.co.kr/2725031790/still/400?ver=1752393740,TRUE,"[{""username"": ""김영식"", ""rating"": 4, ""comment"": ""디자인이 유니크해서 마음에 들어요."", ""date"": ""2024-12-26T09:38:36.360921""}, {""username"": ""전은주"", ""rating"": 5, ""comment"": ""디자인이 유니크해서 마음에 들어요. 재구매 의사 있습니다."", ""date"": ""2025-03-22T16:40:54.379477""}, {""username"": ""노건우"", ""rating"": 4, ""comment"": ""퀄리티가 기대 이상입니다. 색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2025-01-09T09:11:39.708714""}, {""username"": ""김민석"", ""rating"": 5, ""comment"": ""생각했던 것과 똑같아요. 만족합니다. 친구에게 선물했는데 정말 좋아하네요."", ""date"": ""2024-11-17T12:25:31.770272""}]"
18,생활용품,다이어리,주식회사 월드,[주식회사 월드] 데일리 다이어리,"6,880",https://item.elandrs.com/r/image/oa/2024-09-03/2c063416-e12b-42e6-8f97-ac967b5a453d.jpg,FALSE,"[{""username"": ""이영미"", ""rating"": 5, ""comment"": ""퀄리티가 기대 이상입니다. 친구에게 선물했는데 정말 좋아하네요."", ""date"": ""2024-11-07T07:50:25.824736""}]"
19,생활용품,스티커,유한회사 이노엔지니어링,[유한회사 이노엔지니어링] 꿈결 스티커,"3,950",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp9dxwo51oi5XElP86mLWeU8x1rkv3sOCBhw&s,FALSE,"[{""username"": ""김혜진"", ""rating"": 4, ""comment"": ""여기저기 잘 활용하고 있습니다. 디자인이 유니크해서 마음에 들어요."", ""date"": ""2025-06-28T14:46:23.300969""}, {""username"": ""김혜진"", ""rating"": 4, ""comment"": ""화면에서 보던 것보다 실물이 더 예뻐요. 생각했던 것과 똑같아요. 만족합니다."", ""date"": ""2024-10-27T15:54:54.366661""}, {""username"": ""강상현"", ""rating"": 5, ""comment"": ""색감이 정말 예쁘게 잘 나왔어요."", ""date"": ""2024-11-28T00:45:19.270490""}]"
